name,review
Flint's Kleintierpraxis AG,"Gepflegte Praxis. Parkmöglichkeit vorhanden. Zentral gelegen.
Sehr freundliches Team. Mehrere Tierärzte die sich super ergänzen. Der Umgang mit den Tieren ist ruhig und sanft, so das kaum Stress- Situationen entstehen. Tolle Beratung. Fühle mich gut aufgehoben.
Preis- Leistung ist gut.
Eine der besten Tierarzt Praxenen die ich kenne."
Flint's Kleintierpraxis AG,"Parkplätze direkt vor der Praxis, fühlen uns sehr wohl und ernst genommen und mein Hund stürzt sich förmlich in die Praxis = gutes Zeichen...😃🍀🐾"
Flint's Kleintierpraxis AG,"Ich mõchte den Angestellten ein grosses Kompliment machen, . Sie sind immer freundlich und nehmen sich Zeit wenn man eine Frage hat. Ich kann die Praxis allen die ein Tier haben nur empfehlen."
Flint's Kleintierpraxis AG,"Sehr kompetente Tierärzte. Mein Hund geht immer gerne hin, weil wenn sie es gut macht, wird sie mit feinen Gudis belohnt."
Flint's Kleintierpraxis AG,"Beste Tierarztpraxis die ich kenne. Die Tiere sind im Flint’s in besten Händen und das ganze Team ist sehr herzlich und freundlich.
Kann ich nur empfehlen, wenn man eine Tierpraxis sucht wo man kompetente Tierärzte und ein top Team möchte."
Flint's Kleintierpraxis AG,"Kann Frau Dr.Caimi und Team nur empfehlen. Toller Empfang mit ganz reizenden, liebenswürdigen Assistentinnen, toller, professioneller Umgang mit unserem Kätzchen für Augenbehandlung - jederzeit wieder,  herzlichen Dank ans ganze Team."
Flint's Kleintierpraxis AG,"Ich bin sehr zufrieden mit Flint's Kleintierpraxis . Drei ganz liebe Tierärztine arbeiten dort . Sie sind mit Herzblut bei der Arbeit . Ich kann die Tierartztpraxis sehr empfehlen , wo man sein geliebtes Tier gerne und mit grossem vertrauen hinbringt.
Eine zufriedene Hunde und Katzenhalterin 🐕🐈🐾"
Flint's Kleintierpraxis AG,"Sehr kompetent, freundlich, hilfsbereit und gut zu erreichen"
Flint's Kleintierpraxis AG,"Alle hier lieben Tiere und das spürt man.
Kompetent und zuvorkommend"
Flint's Kleintierpraxis AG,"Sehr freundliches Personal. Grosses Kompliment an die Ärztin, die einen sehr interessierten und aufgeschlossenen Eindruck gemacht hat. Wir haben uns gut aufgehoben gefühlt."
Flint's Kleintierpraxis AG,"Wir können die Praxis und das Team nur empfehlen. Der Empfang ist sehr freundlich und aufmerksam. Unsere Tiere fühlen sich wohl und werden immer professionell und optimal behandelt. Parkplätze sind auch ausreichend vor der Praxis verfügbar.
Vielen Dank und jederzeit gerne wieder."
Flint's Kleintierpraxis AG,"Leider wurde der anfängliche gute Eindruck sehr getrübt, weil wir uns von einem ehemaligen Schützling nicht verabschieden durften und auf die beiden Emails kam auch nie eine Reaktion.

Wir haben als Tierheim vor zwei Monaten einen Hund vermittelt, der sechs Monate auf einer unserer Pflegestellen war. Der Hund wurde mit besten Wissen und Gewissen vermittelt. Es wurde auf alle Charaktereigenschaften und auf den Gesundheitszustand hingewiesen, die zu diesem Zeitpunkt bekannt waren. Dies wurde auch vertraglich festgehalten. Zwei Monate nach der Vermittlung haben wir dann die plötzliche Nachricht erhalten, dass der Hund todkrank sei. Jeglicher Kontakt wurde abgebrochen und man verwies uns an die Praxis Flint als Ansprechpartner. Diese waren in den ersten Gespräch scheinbar verständnisvoll und auch freundlich. Wir wollten den Hund gerne noch einmal sehen. Wir konnten uns eine derartige Verschlechterung des Zustandes nicht erklären und haben eine Rücknahme und Kostenübernahme angeboten. Wir hätten uns gerne von dem Zustand des Hundes überzeugt und ihn natürlich gehen lassen wenn nötig. Doch der Zugang zu dem Hund wurde uns verwehrt und es wurde mit der Polizei gedroht. Obwohl vertraglich festgehalten wurde, dass uns ein Zugang zu ihm gestattet werden muss. Nun ist er tot. Der kleine Kauz. Den wir so lange betreut und in unser Herz geschlossen hatten. Das kann keiner wieder gut machen und die Enttäuschung ist gross!"
Flint's Kleintierpraxis AG,"Unser Hund Cirius wurde vom ganzen Team behandelt. Alle haben ihr bestes gegeben und mitgeholfen dass er wieder gesund und fit wurde. Wir konnten jederzeit anrufen und sofort einen Termin bekommen, sogar über den Mittag.  Ganz toll.  Vielen Dank."
Flint's Kleintierpraxis AG,Ich bin mit der Flint's Kleintierpraxis sehr zufrieden. Ich war mit meinen früheren Katzen bereits dort und heute durfte ich für einen Notfall spontan vorbeikommen. Die MA nehmen sich Zeit und sind sehr kompetent.
